N,Triton,Torch
1024.000000,391.649417,472.615390
1536.000000,485.052653,491.929921
2048.000000,540.131858,511.999982
2560.000000,620.606079,499.512174
3072.000000,658.285705,465.528024
3584.000000,672.000002,441.107691
4096.000000,700.139775,433.057275
4608.000000,722.823525,416.199447
5120.000000,735.808359,418.359417
5632.000000,755.128512,407.132535
6144.000000,764.020726,390.547252
6656.000000,770.779228,389.619505
7168.000000,778.425358,387.459455
7680.000000,788.113290,388.042099
8192.000000,792.774204,381.046317
8704.000000,806.548284,376.389205
9216.000000,810.197765,370.492459
9728.000000,819.200036,369.417733
10240.000000,821.939781,363.013308
10752.000000,829.736306,361.119373
11264.000000,831.803075,357.188643
11776.000000,834.391338,354.096080
12288.000000,840.205140,348.184184
12800.000000,841.067791,343.240222
13312.000000,845.206356,346.070554
13824.000000,846.367375,343.098232
14336.000000,847.448262,341.333336
14848.000000,852.516725,339.059953
15360.000000,852.963148,338.619283
15872.000000,855.837663,337.388997
